model	impact_speed	impactor_radius	impactor_density	impactor_volume	impactor_mass	impact_momentum	impactor_energy	seismic_energy_int	seismic_energy_probe	seismic_efficiency_probe	err_seismic_efficiency_probe	seismic_efficiency_int	err_seismic_efficiency_int	seismic_moment_walker	err_seismic_moment_walker	seismic_moment_muller	err_seismic_moment_muller	pz	S	M_GL	err_pz	err_GL	gamma	crater_diam_reg	crater_diam_sand	err_seismic_energy_int	err_seismic_energy_probe	err_S	err_gamma	Re	Re_walker	Re_GL	Re_muller
10	2500	0.053	2860	0.000629539	1.8004811319999998	4501.202829	5626503.5370000005	42.220783663974245	7.869201354986613	1.3985952915942531e-06	1.0347533954536463e-07	7.5039113343357055e-06	4.854062642187449e-08	7181513.168390296	63805.32014661616	10022852.2880337	1827202.4197305518	5874.410512552428	1.3050757176959973	6391358.637657042	86.55905247785414	94176.2490959053	1.123628570313324	2.135919536	3.255985667	0.2731140062508725	0.5822043639442701	0.019230204851062964	0.01933344955329789	165.50496975285589	165.72816089828302	82.61274975711873	241.26131562359424
11	1350	0.035	2860	0.00018130099999999998	0.518519506	700.0013334	472500.9	5.11117492590923	0.9318673920674942	1.9722023642018336e-06	2.1226116302564253e-07	1.0817280826151294e-05	1.7331712381454483e-06	1094064.1989835985	17066.411591428965	1856581.4906510569	268246.3659925178	882.9830411052313	1.2614019416455462	960685.5487224917	7.294533335021442	7936.452268503329	1.1388369487169576	1.109637121	1.876321334	0.8189249698778387	0.10029359056466282	0.010420742057148548	0.02010232160644964	155.54077147222011	156.3452493853709	91.73539057347864	159.48379521340098
12	1930	0.044000000000000004	2860	0.00036020800000000005	1.03019395	1988.2743239999998	1918684.7230000002	17.561137453874835	3.1311420780889123	1.6319210970696369e-06	1.5832073538453136e-07	9.152695720856498e-06	8.173513015294469e-07	3188646.3976105587	31364.895228949223	5222362.407613888	942096.4551061924	2586.8388343038728	1.3010472463878546	2814480.6517226137	15.143843588921799	16476.501824746916	1.1329430869098125	1.6042562969999998	2.557813785	1.5682394555687162	0.3037675763164259	0.00761657654888159	0.012968456281998948	172.11134939063908	173.00412366598735	102.67968170600822	166.2027258394616
15	3300	0.07200000000000001	2860	0.00157831	4.513967782	14896.093680000002	24578554.57	126.31679034421299	30.853865822118877	1.2553165294666423e-06	5.6253538164476395e-08	5.139309147918415e-06	2.084658837749904e-07	25057071.190984245	147576.22956599476	40114262.60216031	7916940.317558288	20942.4470511772	1.4059019432252389	22785382.391680796	94.88509668971528	103234.98519841023	1.0996993932448933	3.220645003	4.6105667839999995	5.123790100346879	1.3826306575311609	0.006369797258801562	0.008171527031557069	186.63321460495584	186.8473380225056	114.06712499726568	180.2620188930457
16	3640	0.08199999999999999	2860	0.002331506	6.668106428	24271.9074	44174871.46	200.27226159203568	52.18993750166924	1.1814394875812332e-06	5.164314487856206e-08	4.5336240938104514e-06	5.215681236140978e-07	40813843.65393754	468005.7755739727	66803068.39273193	13178703.70079287	34378.200839810364	1.4163782134324707	37403482.51371367	224.9929990066948	244792.38291928393	1.0911776367073172	3.8012328539999998	5.309063605	23.040204818286167	2.2813292868006365	0.009269687598045749	0.01440688116785915	188.32613887590085	188.55539178879613	109.51022471677399	173.5237450134445
17	3910	0.091	2860	0.003186538	9.113498841	35633.78047	69664040.81	254.6530345775731	78.6320090319178	1.1287316687008842e-06	5.344522388839407e-08	3.6554444964240232e-06	7.37724942326003e-08	60787747.2384995	575988.2948501189	90825253.51094893	17590803.814315207	51175.92670279944	1.4361632705764784	55679408.25264579	290.0477691260925	315571.9728091886	1.0917455688946007	4.3272375610000005	5.9301544260000005	5.139290048875356	3.723210258060672	0.008139685582063993	0.012054057798232608	193.7463380172265	193.843454917027	113.68412929988364	216.33519906881412
18	4150	0.1	2860	0.004356714	12.46020212	51709.83878	107297915.5	390.990897705507	109.27038342851485	1.0183830964406278e-06	1.9094183761238384e-08	3.6439747769890924e-06	9.379243054781006e-07	86667159.65573014	328739.00773062377	145473869.78176495	27383513.858550176	72956.21467125382	1.4108768542413512	79376361.56232417	260.51182789025944	283436.86874460225	1.0918509988352318	4.9018636010000005	6.598163919	100.63732287458542	2.0487661157548285	0.005037954749745198	0.005687941825769792	211.5143449540104	211.58686142733373	121.70014837297244	179.45265182692836
19	4370	0.11	2860	0.005628245	16.09678047	70342.93066	153699303.5	476.4130541513829	167.96673210682118	1.0928268917420383e-06	6.94153661578074e-08	3.099643546214137e-06	4.175217666400901e-08	121738886.95494407	720480.8723739667	197069012.966711	40085523.02728105	102892.09260313539	1.4627211524703254	111946596.7522113	323.9437883265088	352450.8416992416	1.0874728708761694	5.433221775	7.207649182999999	6.417280472867137	10.669093430652467	0.0046052074499465965	0.0072899605377528265	216.71071222426792	216.7850034921277	119.75014855414238	222.18831257399071
20	4550	0.12	2860	0.007306993	20.89799899	95085.8954	216320412.0	637.528948480108	208.58955524987027	9.64262009864655e-07	3.2726417363189016e-08	2.9471511383775843e-06	7.338785261653509e-08	165674484.52128544	1634315.9595981552	278580126.5689689	52444951.72968922	139893.42493140852	1.4712321353542044	152204046.32537246	1247.2435304752353	1357000.961157056	1.0885024972799784	6.003839008	7.854660664	15.87529051380415	7.079392087289	0.01311701935632438	0.014473395910029259	215.74006821397	215.77548335032384	118.97228394906547	176.9943858279047
23	4860	0.14	2860	0.011603234	33.1852484	161280.3072	391911146.5	1174.1506061971495	393.43051137253167	1.0038768095424192e-06	8.837090613703928e-08	2.995961244488742e-06	7.065276221176476e-08	284689840.84184694	1172770.1344169187	460058490.8785038	77424151.88944273	241345.32207791627	1.4964339184859654	262583710.4207729	547.7295148679297	595929.7121763075	1.084186983212517	7.145370787	9.129732291	27.689605041804604	34.633543141410954	0.003396133876336823	0.005099202517268498		222.11722483564262	124.70365792437958	221.8833395346579
